DESH_PR_0045|25|barrierefreier Zugang
DESH_PR_0067|25|barrierefreier Zugang
DESH_PR_0079|25|barrierefreier Zugang
DESH_PR_0066|25|barrierefreier Zugang
DESH_PR_0239|25|barrierefreier Zugang
DESH_PR_0097|25|barrierefreier Zugang
DESH_PR_0072|25|barrierefreier Zugang
DESH_PR_0073|25|barrierefreier Zugang
DESH_PR_0076|25|barrierefreier Zugang
DESH_PR_0047|25|barrierefreier Zugang
DESH_PR_0051|25|barrierefreier Zugang
DESH_PR_0351|25|barrierefreier Zugang
DESH_PR_0046|25|barrierefreier Zugang
DESH_PR_0056|25|barrierefreier Zugang
DESH_PR_0055|25|barrierefreier Zugang
DESH_PR_0082|25|barrierefreier Zugang
DESH_PR_0066|23|WLAN
DESH_PR_0078|23|WLAN
DESH_PR_0079|23|WLAN
DESH_PR_0352|24|ÖPNV
DESH_PR_0044|24|ÖPNV
DESH_PR_0070|24|ÖPNV
DESH_PR_0071|24|ÖPNV
DESH_PR_0072|24|ÖPNV
DESH_PR_0073|24|ÖPNV
DESH_PR_0074|24|ÖPNV
DESH_PR_0075|24|ÖPNV
DESH_PR_0056|24|ÖPNV
DESH_PR_0125|1|Baden ohne Aufsicht
DESH_PR_0126|1|Baden ohne Aufsicht
DESH_PR_0127|1|Baden ohne Aufsicht
DESH_PR_0131|1|Baden ohne Aufsicht
DESH_PR_0132|1|Baden ohne Aufsicht
DESH_PR_0134|1|Baden ohne Aufsicht
DESH_PR_0139|1|Baden ohne Aufsicht
DESH_PR_0140|1|Baden ohne Aufsicht
DESH_PR_0141|1|Baden ohne Aufsicht
DESH_PR_0142|1|Baden ohne Aufsicht
DESH_PR_0143|1|Baden ohne Aufsicht
DESH_PR_0145|1|Baden ohne Aufsicht
DESH_PR_0148|1|Baden ohne Aufsicht
DESH_PR_0149|1|Baden ohne Aufsicht
DESH_PR_0150|1|Baden ohne Aufsicht
DESH_PR_0152|1|Baden ohne Aufsicht
DESH_PR_0153|1|Baden ohne Aufsicht
DESH_PR_0154|1|Baden ohne Aufsicht
DESH_PR_0155|1|Baden ohne Aufsicht
DESH_PR_0156|1|Baden ohne Aufsicht
DESH_PR_0157|1|Baden ohne Aufsicht
DESH_PR_0158|1|Baden ohne Aufsicht
DESH_PR_0159|1|Baden ohne Aufsicht
DESH_PR_0160|1|Baden ohne Aufsicht
DESH_PR_0161|1|Baden ohne Aufsicht
DESH_PR_0162|1|Baden ohne Aufsicht
DESH_PR_0163|1|Baden ohne Aufsicht
DESH_PR_0164|1|Baden ohne Aufsicht
DESH_PR_0165|1|Baden ohne Aufsicht
DESH_PR_0166|1|Baden ohne Aufsicht
DESH_PR_0167|1|Baden ohne Aufsicht
DESH_PR_0168|1|Baden ohne Aufsicht
DESH_PR_0169|1|Baden ohne Aufsicht
DESH_PR_0170|1|Baden ohne Aufsicht
DESH_PR_0171|1|Baden ohne Aufsicht
DESH_PR_0172|1|Baden ohne Aufsicht
DESH_PR_0173|1|Baden ohne Aufsicht
DESH_PR_0174|1|Baden ohne Aufsicht
DESH_PR_0175|1|Baden ohne Aufsicht
DESH_PR_0176|1|Baden ohne Aufsicht
DESH_PR_0177|1|Baden ohne Aufsicht
DESH_PR_0178|1|Baden ohne Aufsicht
DESH_PR_0179|1|Baden ohne Aufsicht
DESH_PR_0181|1|Baden ohne Aufsicht
DESH_PR_0182|1|Baden ohne Aufsicht
DESH_PR_0188|1|Baden ohne Aufsicht
DESH_PR_0198|1|Baden ohne Aufsicht
DESH_PR_0201|1|Baden ohne Aufsicht
DESH_PR_0202|1|Baden ohne Aufsicht
DESH_PR_0203|1|Baden ohne Aufsicht
DESH_PR_0204|1|Baden ohne Aufsicht
