,Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
36,DESH_PR_0063,Vollerwiek,Küstengewässer,250,Nordfriesland,8.7812726313678,54.2830268829881,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
41,DESH_PR_0069,"Lüttmoorsiel, Reussenköge",Küstengewässer,320,Nordfriesland,8.87103695136256,54.5633951278057,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
42,DESH_PR_0070,"Sylt, List Weststrand",Küstengewässer,5700,Nordfriesland,8.37467896779009,55.0248424755258,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein
43,DESH_PR_0072,"Sylt, Wenningstedt",Küstengewässer,1350,Nordfriesland,8.31434087780585,54.9381769800174,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
44,DESH_PR_0073,"Sylt, Westerland",Küstengewässer,5800,Nordfriesland,8.29665040924067,54.9060074097821,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
45,DESH_PR_0074,"Sylt, Rantum",Küstengewässer,7000,Nordfriesland,8.28515913911592,54.8329560928886,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein
46,DESH_PR_0075,"Sylt, Hörnum Weststrand",Küstengewässer,4200,Nordfriesland,8.2815021255628,54.7703629193564,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein
47,DESH_PR_0076,"Föhr, Wyk",Küstengewässer,3800,Nordfriesland,8.56265995016168,54.6810136375216,Cyanobakterien (Blaualgen),Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
48,DESH_PR_0080,"Timmendorf, Niendorf",Küstengewässer,2165,Ostholstein,10.8266346683012,53.9956578342059,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
49,DESH_PR_0081,Timmendorfer Strand,Küstengewässer,3380,Ostholstein,10.78934380928,53.9986173137103,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
